Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/-439,1000,379,211,920,1328,2288,41,8406,41.800%,4.64626,14.44,1.82
/static/css/chunk-libs.e8bed112.css-441,500,910,555,2149,2717,4353,146,8528,0.000%,41.31890,2396.70,16.26
/static/css/app.6021bb2a.css-442,500,2463,2014,4564,5807,8830,251,12097,0.000%,27.26430,6944.70,10.54
/static/js/chunk-elementUI.5bbc628b.js-443,500,6009,5462,10168,11560,13195,518,38240,0.000%,11.32708,6391.07,4.33
/static/js/app.7b86bc0c.js-445,500,7085,6953,10178,11704,14001,452,24623,0.000%,11.51782,6607.68,4.26
/static/js/chunk-libs.42577cdb.js-444,500,5678,5293,8672,9731,11078,503,13967,0.000%,11.47473,5135.66,4.33
/success.txt-440,1000,646,518,1041,1431,3216,365,4505,0.000%,4.71007,1.81,1.55
/static/css/chunk-commons.7d47341d.css-446,501,788,423,1591,2611,4667,43,21003,0.399%,2.64016,18.65,1.04
/static/js/chunk-commons.2bd1bc53.js-447,500,585,350,1273,1848,2641,103,8783,0.000%,12.08634,549.04,4.59
/static/js/chunk-bae7.9cf68009.js-448,500,581,385,1208,1584,2647,88,5290,0.000%,12.16693,584.70,4.59
/static/css/chunk-bae7.e20006d7.css-449,500,580,329,1265,1695,3108,88,8306,0.000%,13.37292,562.90,2.10
/static/js/chunk-02f6.cbcac1bb.js-450,500,652,401,1525,2027,2839,88,5403,0.000%,17.17977,900.88,6.48
/static/css/chunk-02f6.11a84f1f.css-451,501,250,63,522,910,1706,42,21001,0.399%,2.95361,7.13,1.16
/static/css/chunk-7a9b.b384c603.css-452,500,564,320,1174,1645,3230,89,8222,0.000%,18.62475,1063.41,7.33
/static/js/chunk-7a9b.959988e2.js-453,500,846,723,1616,2000,2905,174,3395,0.000%,18.51646,2051.66,6.98
/static/img/logo.3f60e11.png-455,500,287,154,632,989,1547,44,2426,0.000%,18.74977,394.86,7.18
/static/img/logo2.0bc0465.svg-456,500,311,175,658,939,1577,46,4530,0.000%,19.42955,678.91,7.46
/cms/api/parent/page/plugin/custom-457,686,4621,297,16574,18124,18913,41,19227,48.834%,3.59658,26.76,1.99
/api/admin/user/me-454,1000,7396,2118,22150,23508,26599,41,28013,41.800%,5.26288,10.00,2.58
/static/img/panda.36c9329.jpg-458,500,289,264,406,465,1047,53,1236,0.000%,10.16240,145.73,3.90
/static/img/user_card_bg_square.418a76d.png-459,500,123,99,146,252,632,48,2138,0.000%,10.22913,277.26,4.41
/static/img/inner_banner_01v2.83b1fa7.png-460,500,409,342,707,942,1505,100,2461,0.000%,10.21242,1095.73,4.04
/static/img/inner_banner_02.a077bec.png-461,500,537,400,874,1210,2181,152,3152,0.000%,10.32120,1697.52,4.06
/static/img/inner_banner_04.2a31099.png-462,500,618,500,1046,1223,2033,181,3354,0.000%,10.45631,2450.10,4.12
/static/img/inner_banner_03v2.1998e38.png-463,500,457,365,724,934,1280,134,1723,0.000%,10.31183,1840.75,4.08
/api/payment/account/current-account-list-465,1000,6486,5567,13791,14100,14984,41,15959,43.800%,5.42953,5.99,2.65
/api/admin/user/me-469,1000,16718,5630,41231,43313,52822,41,54091,46.900%,5.52963,9.76,2.57
/api/common/tradegroup-468,1000,7115,6257,15445,16695,18780,41,20532,47.100%,6.31848,6.27,2.96
/api/notification/client/message-center/search-467,1000,8575,6133,21391,23854,27677,41,28652,48.000%,6.87730,3.44,4.05
/api/notification/client/message-center/un-read-amount-466,1000,7685,4644,18501,22181,27823,41,28365,48.800%,7.06534,2.41,3.53
/cms/api/parent/page/plugin/custom-472,500,1638,553,5377,6299,7492,243,7870,0.000%,5.16449,3.65,2.71
/static/img/inner_banner_05.d18170c.png-474,500,520,412,883,994,1129,260,1395,0.000%,5.12736,1946.59,2.02
/static/img/inner_banner_06.8328914.png-475,500,240,208,391,437,603,90,846,0.000%,5.15384,1402.85,2.03
/cms/api/parent/page/plugin/custom-473,500,2006,541,6207,6376,7251,120,7498,0.000%,4.88998,8.93,2.58
/static/img/inner_banner_07.e3fe39e.png-476,514,668,625,1000,1232,1652,42,2163,5.447%,4.97450,3901.51,1.96
/static/img/inner_banner_08.2805da2.png-477,520,111,51,284,293,383,42,1296,7.692%,5.07461,287.31,2.00
/cms/media/filer_public/47/13/4713e115-fa36-49cc-9f5f-d7713ac81bb7/inner_banner_03.png-478,521,1513,370,5638,6347,7327,41,7678,8.061%,4.40465,730.39,1.94
/cms/media/filer_public/98/d6/98d643ef-4041-42fd-8ccd-66355d15363a/inner_banner_08.png-479,570,825,159,3202,5006,6493,41,7448,24.561%,4.68019,216.68,2.06
/api/product/recommend/route-464,998,9090,44,29085,34780,43923,41,53098,60.120%,8.02341,6.75,3.81
/api/notification/client/message-center/search-470,998,3632,44,17490,18876,23776,41,28355,70.842%,8.83030,7.08,5.40
/api/product/client/backlog/todo-471,997,10036,43,44279,53644,60221,41,81838,75.928%,10.54535,8.54,5.05
TOTAL,26306,3792,383,13777,19053,40948,41,81838,22.181%,121.63162,11157.11,52.85
